support,itemsets,length
0.012787861011153161,frozenset({'The Hobbit'}),1
0.012784283987094098,frozenset({'The Hobbit There and Back Again'}),1
0.012784283987094098,"frozenset({'The Hobbit There and Back Again', 'The Hobbit'})",2
0.012741359698385331,"frozenset({'The Hobbitt, or there and back again; illustrated by the author.', 'The Hobbit'})",2
0.012741359698385331,"frozenset({'The Hobbitt, or there and back again; illustrated by the author.'})",1
0.012737782674326268,"frozenset({'The Hobbit There and Back Again', 'The Hobbitt, or there and back again; illustrated by the author.'})",2
0.012737782674326268,"frozenset({'The Hobbit There and Back Again', 'The Hobbitt, or there and back again; illustrated by the author.', 'The Hobbit'})",3
0.012558931471373077,"frozenset({'The Hobbit', 'The Hobbit or There and Back Again'})",2
0.012558931471373077,"frozenset({'The Hobbit There and Back Again', 'The Hobbit or There and Back Again'})",2
0.012558931471373077,"frozenset({'The Hobbit There and Back Again', 'The Hobbit', 'The Hobbit or There and Back Again'})",3
0.012558931471373077,frozenset({'The Hobbit or There and Back Again'}),1
0.012537469327018694,"frozenset({'The Hobbit There and Back Again', 'The Hobbitt, or there and back again; illustrated by the author.', 'The Hobbit or There and Back Again'})",3
0.012537469327018694,"frozenset({'The Hobbitt, or there and back again; illustrated by the author.', 'The Hobbit', 'The Hobbit or There and Back Again'})",3
0.012537469327018694,"frozenset({'The Hobbitt, or there and back again; illustrated by the author.', 'The Hobbit or There and Back Again'})",2
0.012537469327018694,"frozenset({'The Hobbit There and Back Again', 'The Hobbitt, or there and back again; illustrated by the author.', 'The Hobbit', 'The Hobbit or There and Back Again'})",4
0.012190497993289503,"frozenset({'The Hobbit; Or, There and Back Again', 'The Hobbit'})",2
0.012190497993289503,"frozenset({'The Hobbit; Or, There and Back Again'})",1
0.01218692096923044,"frozenset({'The Hobbit There and Back Again', 'The Hobbit; Or, There and Back Again', 'The Hobbit'})",3
0.01218692096923044,"frozenset({'The Hobbit There and Back Again', 'The Hobbit; Or, There and Back Again'})",2
0.01216903584893512,"frozenset({'The Hobbit; Or, There and Back Again', 'The Hobbitt, or there and back again; illustrated by the author.'})",2
0.01216903584893512,"frozenset({'The Hobbit; Or, There and Back Again', 'The Hobbitt, or there and back again; illustrated by the author.', 'The Hobbit'})",3
0.012165458824876057,"frozenset({'The Hobbit There and Back Again', 'The Hobbit; Or, There and Back Again', 'The Hobbitt, or there and back again; illustrated by the author.'})",3
0.012165458824876057,"frozenset({'The Hobbit There and Back Again', 'The Hobbit; Or, There and Back Again', 'The Hobbitt, or there and back again; illustrated by the author.', 'The Hobbit'})",4
0.011997338694100057,"frozenset({'The Hobbit; Or, There and Back Again', 'The Hobbit', 'The Hobbit or There and Back Again'})",3
0.011997338694100057,"frozenset({'The Hobbit There and Back Again', 'The Hobbit; Or, There and Back Again', 'The Hobbit or There and Back Again'})",3
0.011997338694100057,"frozenset({'The Hobbit There and Back Again', 'The Hobbit; Or, There and Back Again', 'The Hobbit', 'The Hobbit or There and Back Again'})",4
0.011997338694100057,"frozenset({'The Hobbit; Or, There and Back Again', 'The Hobbit or There and Back Again'})",2
