support,itemsets,length
0.017784598718064457,frozenset({'able'}),1
0.014083235533086576,frozenset({'absolutely'}),1
0.013270741175408505,frozenset({'action'}),1
0.020041527489392436,frozenset({'actually'}),1
0.01254852396858355,frozenset({'adventure'}),1
0.01471517558905841,frozenset({'age'}),1
0.019499864584273722,frozenset({'ago'}),1
0.02256928771327977,frozenset({'almost'}),1
0.01733321296379886,frozenset({'along'}),1
0.016249887153561432,frozenset({'already'}),1
0.06870091179922362,frozenset({'also'}),1
0.0250970479371671,frozenset({'although'}),1
0.03168727994944479,frozenset({'always'}),1
0.022659564864132887,frozenset({'amazing'}),1
0.011916583912611719,frozenset({'amazon'}),1
0.012458246817730433,frozenset({'american'}),1
0.03277060575968222,frozenset({'another'}),1
0.060124582468177305,frozenset({'anyone'}),1
0.01733321296379886,frozenset({'anything'}),1
0.019499864584273722,frozenset({'around'}),1
0.011013812404080527,frozenset({'art'}),1
0.012097138214317956,frozenset({'attention'}),1
0.06698564593301436,frozenset({'author'}),1
0.023833167825223437,frozenset({'authors'}),1
0.020312358941951793,frozenset({'away'}),1
0.033312268664800936,frozenset({'back'}),1
0.017784598718064457,frozenset({'bad'}),1
0.011194366705786765,frozenset({'basic'}),1
0.01859709307574253,frozenset({'beautiful'}),1
0.011194366705786765,frozenset({'become'}),1
0.013180464024555385,frozenset({'beginning'}),1
0.0175137672655051,frozenset({'believe'}),1
0.08133971291866028,frozenset({'best'}),1
0.057867653696849326,frozenset({'better'}),1
0.011916583912611719,frozenset({'bible'}),1
0.016159610002708314,frozenset({'big'}),1
0.024013722126929673,frozenset({'bit'}),1
0.6889049381601516,frozenset({'book'}),1
0.14787397309740904,frozenset({'books'}),1
0.01643044145526767,frozenset({'boring'}),1
0.03719418615148506,frozenset({'bought'}),1
0.01065270380066805,frozenset({'boy'}),1
0.03385393156991965,frozenset({'buy'}),1
0.010562426649814933,frozenset({'buying'}),1
0.016881827209533268,frozenset({'came'}),1
0.036833077548072586,frozenset({'cant'}),1
0.010562426649814933,frozenset({'certainly'}),1
0.011104089554933647,frozenset({'change'}),1
0.01643044145526767,frozenset({'chapter'}),1
0.028798411122144985,frozenset({'character'}),1
0.07122867202311095,frozenset({'characters'}),1
0.017152658662092625,frozenset({'child'}),1
0.02256928771327977,frozenset({'children'}),1
0.010111040895549336,frozenset({'christmas'}),1
0.01661099575697391,frozenset({'class'}),1
0.020131804640245554,frozenset({'classic'}),1
0.014444344136499051,frozenset({'clear'}),1
0.015979055701002075,frozenset({'collection'}),1
0.02717342240678884,frozenset({'come'}),1
